trial,Self,Other,Feedback,strategy,agent_id,Memory,cumulative
62,1,0,0,Memory,1,0.722429207341764,0.6290322580645161
63,0,0,1,Memory,1,0.5779433658734112,0.6349206349206349
64,0,0,1,Memory,1,0.462354692698729,0.640625
65,0,0,1,Memory,1,0.36988375415898317,0.6461538461538462
66,0,0,1,Memory,1,0.29590700332718656,0.6515151515151515
67,0,0,1,Memory,1,0.23672560266174925,0.6567164179104478
68,0,0,1,Memory,1,0.1893804821293994,0.6617647058823529
69,0,0,1,Memory,1,0.1515043857035195,0.6666666666666666
70,0,0,1,Memory,1,0.12120350856281562,0.6714285714285714
71,0,1,0,Memory,1,0.09696280685025249,0.6619718309859155
72,1,1,1,Memory,1,0.27757024548020204,0.6666666666666666
73,1,1,1,Memory,1,0.42205619638416164,0.6712328767123288
74,1,1,1,Memory,1,0.5376449571073293,0.6756756756756757
75,1,1,1,Memory,1,0.6301159656858635,0.68
76,1,1,1,Memory,1,0.7040927725486907,0.6842105263157895
77,0,1,0,Memory,1,0.7632742180389526,0.6753246753246753
78,1,1,1,Memory,1,0.810619374431162,0.6794871794871795
79,1,1,1,Memory,1,0.8484954995449296,0.6835443037974683
80,1,1,1,Memory,1,0.8787963996359437,0.6875
81,1,0,0,Memory,1,0.903037119708755,0.6790123456790124
82,1,0,0,Memory,1,0.722429695767004,0.6707317073170732
83,1,0,0,Memory,1,0.5779437566136032,0.6626506024096386
84,0,0,1,Memory,1,0.4623550052908826,0.6666666666666666
85,0,0,1,Memory,1,0.36988400423270607,0.6705882352941176
86,0,0,1,Memory,1,0.29590720338616483,0.6744186046511628
87,0,0,1,Memory,1,0.23672576270893186,0.6781609195402298
88,0,0,1,Memory,1,0.1893806101671455,0.6818181818181818
89,0,0,1,Memory,1,0.1515044881337164,0.6853932584269663
90,0,0,1,Memory,1,0.12120359050697312,0.6888888888888889
91,0,1,0,Memory,1,0.09696287240557849,0.6813186813186813
92,0,1,0,Memory,1,0.2775702979244628,0.6739130434782609
93,0,1,0,Memory,1,0.4220562383395703,0.6666666666666666
94,0,1,0,Memory,1,0.5376449906716563,0.6595744680851063
95,1,1,1,Memory,1,0.630115992537325,0.6631578947368421
96,1,1,1,Memory,1,0.70409279402986,0.6666666666666666
97,1,1,1,Memory,1,0.763274235223888,0.6701030927835051
98,1,1,1,Memory,1,0.8106193881791104,0.673469387755102
99,1,1,1,Memory,1,0.8484955105432883,0.6767676767676768
100,1,1,1,Memory,1,0.8787964084346307,0.68
1,1,0,0,WSLS,2,NA,0
2,0,0,1,WSLS,2,NA,0.5
3,0,0,1,WSLS,2,NA,0.6666666666666666
4,0,0,1,WSLS,2,NA,0.75
5,0,0,1,WSLS,2,NA,0.8
6,1,0,0,WSLS,2,NA,0.6666666666666666
7,0,0,1,WSLS,2,NA,0.7142857142857143
8,0,0,1,WSLS,2,NA,0.75
9,0,0,1,WSLS,2,NA,0.7777777777777778
10,0,0,1,WSLS,2,NA,0.8
11,0,1,0,WSLS,2,NA,0.7272727272727273
12,1,1,1,WSLS,2,NA,0.75
13,1,1,1,WSLS,2,NA,0.7692307692307693
14,1,1,1,WSLS,2,NA,0.7857142857142857
15,1,1,1,WSLS,2,NA,0.8
16,1,1,1,WSLS,2,NA,0.8125
17,1,1,1,WSLS,2,NA,0.8235294117647058
18,1,1,1,WSLS,2,NA,0.8333333333333334
