T,param,subj,mean,q025,q975,true
30,p_loss,21,0.245674860997,0.12866546499999998,0.34373928225,0.2910895276977308
30,p_loss,22,0.281699038844,0.1704381465,0.41518264250000003,0.29417665998013737
30,p_loss,23,0.260857388733,0.13588675075,0.37262607174999995,0.4152495410648995
30,p_loss,24,0.242234918917,0.11093675200000001,0.32870466325,0.07770021105606896
30,p_loss,25,0.276207068393,0.16707354449999998,0.40220390924999994,0.1216485695708173
30,p_loss,26,0.27683203851,0.16989288100000002,0.40331204625,0.4069739986678441
30,p_loss,27,0.272746218381,0.154077752,0.397659126,0.16397385407356854
30,p_loss,28,0.267917741156,0.15386717375,0.38433842375,0.4784881718157676
30,p_loss,29,0.259466392193,0.16309089650000003,0.3524745,0.08175671373983127
30,p_loss,30,0.257222944324,0.14480512900000003,0.36006119999999997,0.4973503989532755
30,p_loss,31,0.270812264735,0.1641380775,0.38710033549999995,0.18788134685952765
30,p_loss,32,0.277077620313,0.17334667199999998,0.39677507599999995,0.2713528814868705
30,p_loss,33,0.255700397766,0.13893593825,0.34924247124999996,0.27479541477211467
30,p_loss,34,0.252580272923,0.137910538,0.35135700975,0.07351342595762697
30,p_loss,35,0.242468277453,0.11280129775,0.32907772475,0.14533206377042637
30,p_loss,36,0.274289333507,0.15954666350000002,0.3981097604999998,0.41211204092385173
30,p_loss,37,0.26035099618199997,0.14226267125,0.35635943699999995,0.07695495497446592
30,p_loss,38,0.253105207693,0.14697065350000002,0.3471394275,0.3529451122877887
30,p_loss,39,0.250053037048,0.1410464675,0.35276715725,0.3220611218157733
30,p_loss,40,0.264918971769,0.15206862699999998,0.37696597425,0.10321177373758465
30,p_win,1,0.53167933549,0.27022721375000003,0.7947006364999999,0.8037238988982699
30,p_win,2,0.7782136127,0.55776547075,0.972472274,0.8282755432651726
30,p_win,3,0.69735853314,0.44212441874999997,0.948258572,0.925113340876654
30,p_win,4,0.54481759313,0.29391334375,0.86173229525,0.657948130575116
30,p_win,5,0.89655017505,0.74107103225,0.9894295372499999,0.9603155304668137
30,p_win,6,0.88273672043,0.72218032875,0.98598134625,0.9538626518296238
30,p_win,7,0.6503190825,0.40537973275,0.8847961097500001,0.7619262872917064
30,p_win,8,0.81080259514,0.55452414275,0.9794862032499999,0.9399024174253044
30,p_win,9,0.76348029694,0.541235369,0.9792504415,0.7375800970141659
30,p_win,10,0.89507355106,0.7419977950000001,0.9892866352499999,0.9229075598413166
30,p_win,11,0.83534755629,0.6281841312499999,0.980941194,0.9028899597217019
30,p_win,12,0.91190347586,0.7553006190000001,0.9915796004999999,0.9703349303008376
30,p_win,13,0.59798543867,0.29482612275000003,0.9429098402499999,0.6099835164074834
30,p_win,14,0.89137140537,0.7116915964999999,0.9897539830000001,0.9802439485000041
30,p_win,15,0.72974423122,0.4771354755,0.955191557,0.7632889922187148
30,p_win,16,0.388718063097,0.16637374825,0.6250256627499999,0.5924541894545232
30,p_win,17,0.79997325542,0.5531560317499999,0.9759641785,0.8639123415026896
30,p_win,18,0.7366575854,0.48914264075,0.96099666,0.8401324383851378
30,p_win,19,0.86495554769,0.67744922025,0.98776092975,0.9449667112554081
30,p_win,20,0.568200986739,0.26639379350000003,0.87693203875,0.6961459989366778
30,p_win,21,0.76221726946,0.53759311275,0.9664005592499999,0.7468857265429554
30,p_win,22,0.76906847231,0.53049593075,0.9774164737500001,0.9080336826843917
30,p_win,23,0.8506635531,0.64829608025,0.9870918987499999,0.9288127364804234
30,p_win,24,0.65459358024,0.42906749825,0.8826248955,0.6053895349649904
30,p_win,25,0.83812870111,0.6028293757500001,0.9851928154999999,0.7999466267411823
30,p_win,26,0.89524436306,0.69950530425,0.98874916225,0.9495082142808239
30,p_win,27,0.70782536099,0.46403862175,0.94343659325,0.7368953452814567
30,p_win,28,0.82524883912,0.59524752525,0.98375386375,0.8043950202176112
30,p_win,29,0.69435393064,0.426072083,0.9557873354999998,0.8150861898851616
30,p_win,30,0.78857398383,0.563303837,0.9748589415,0.832099805085359
30,p_win,31,0.79019221688,0.56817585525,0.9794591257499999,0.7706533894616988
30,p_win,32,0.82543441203,0.59801153275,0.98410610225,0.7605562786967452
30,p_win,33,0.91721518552,0.771536803,0.9919793122499999,0.8978901930186582
30,p_win,34,0.89640926777,0.753777726,0.99228823525,0.9727787197960559
30,p_win,35,0.70742696216,0.4873948855,0.9311940275,0.666887299107602
30,p_win,36,0.55266981973,0.26122320600000004,0.87905063275,0.6479637238990645
30,p_win,37,0.87275187527,0.69539875425,0.9887071504999999,0.8417914924220185
30,p_win,38,0.82182870027,0.6187693325,0.97876614275,0.8972291200155035
30,p_win,39,0.78646432404,0.57532507325,0.9695417572499999,0.7752859530794912
30,p_win,40,0.58524188341,0.35390873,0.8709070124999998,0.6477392851756785
60,.chain,NA,1.5,1,2,NA
60,.draw,NA,500.5,25.975,975.025,NA
60,.iteration,NA,250.5,13,488,NA
60,lapse,1,0.06542220791751,0.002143499885,0.21642746399999999,0.04427476242697201
60,lapse,2,0.12264607338173,0.0032785544275000006,0.5132298209999998,0.27596360122035557
60,lapse,3,0.083740134873928,0.0036284541125,0.254035646,0.1428783455348466
60,lapse,4,0.08768546848073,0.0022454926674999997,0.28691074325,0.16543970669005922
60,lapse,5,0.097062693694379,0.0037871228700000004,0.30364567999999986,0.16692835017459287
60,lapse,6,0.08066964545414,0.0025371147125,0.26262052399999997,0.16751668827114932
60,lapse,7,0.0756451343554367,0.0022362017425,0.23611327099999999,0.15593901039824928
60,lapse,8,0.09068317983551,0.0028859544249999996,0.2919624152499999,0.0816200514280245
60,lapse,9,0.07134079981347,0.0028599810075,0.21695817425,0.20399309085661096
60,lapse,10,0.08194752265834,0.0019713457175,0.25346082974999995,0.2164065147787793
60,lapse,11,0.09942245808469,0.0028791093124999998,0.33911304899999994,0.2593422775139957
60,lapse,12,0.126901723979368,0.002892320635,0.4972576732499996,0.12693431585315224
60,lapse,13,0.0923710868135106,0.00306114233,0.30054381299999994,0.1459420155418819
60,lapse,14,0.0773154619596,0.0029291385125,0.23808106199999998,0.11859797027873127
60,lapse,15,0.0983690185467,0.0026966224875000005,0.350190805,0.07758171540081883
60,lapse,16,0.08477309934772,0.0029017571775,0.2539178585,0.14566381370233766
60,lapse,17,0.07324109938794,0.0023777873075,0.227337306,0.16690065374806132
60,lapse,18,0.08405313206072,0.0026148662025000003,0.2578475747499999,0.2664321281054392
60,lapse,19,0.08691023196065,0.0029179624750000003,0.2732433302499999,0.2334904114811213
60,lapse,20,0.10446822760718,0.002331990235,0.38753498525,0.4193031107133924
60,lapse,21,0.07607298862731,0.002983471925,0.23010323124999996,0.11930083609873407
60,lapse,22,0.100574898572552,0.0029323375625,0.3572181587499999,0.10445201445313286
60,lapse,23,0.08119623083284,0.0023041194600000006,0.25055523974999994,0.018912993388281073
60,lapse,24,0.08604696090527,0.002440087545,0.2812055304999999,0.25978938651817307
60,lapse,25,0.09417556358827,0.0017364617425,0.34481678974999985,0.26798315300413156
60,lapse,26,0.07604776921057,0.0028376695775,0.23767750724999998,0.08492346728525473
60,lapse,27,0.10761276690608,0.0029208484375,0.42253839224999984,0.12661076795062487
60,lapse,28,0.08174959520684,0.00294374622,0.24483875599999994,0.07971989743101984
60,lapse,29,0.08686755554604,0.00319521583,0.2771744472499999,0.11833068403913805
60,lapse,30,0.0837750601586,0.0029481073249999997,0.26757814799999985,0.04022929578908612
60,lapse,31,0.1224031071474,0.0031660998500000004,0.48639402149999994,0.047393432705653896
60,lapse,32,0.09996007823479,0.003218785035,0.3440784769999998,0.26502230353779793
60,lapse,33,0.091220844766391,0.0036412289700000003,0.2886772167499999,0.2699056456616181
60,lapse,34,0.07655709753874,0.00309550028,0.22967600475,0.15684218045425513
60,lapse,35,0.085487467866,0.0027951677175000003,0.26631830399999995,0.06172470094828777
60,lapse,36,0.08668881044073,0.0033499408150000002,0.2834817969999999,0.2725724342319687
60,lapse,37,0.08902759635178,0.0029775429549999998,0.28359533974999995,0.21843040007859132
60,lapse,38,0.08130253262407,0.002257168515000001,0.24409444025000002,0.12729037346657232
60,lapse,39,0.07986252299668,0.003119700415,0.24231546924999992,0.06614294074967811
60,lapse,40,0.09101234993384,0.0021682179125000005,0.2987101502499999,0.18964467189905895
60,p_loss,1,0.1299663701604,0.038318144525,0.23123078024999993,0.12042282234480046
60,p_loss,2,0.282432601436,0.1377534175,0.46280670499999993,0.388374188712721
60,p_loss,3,0.228983290862,0.0978260195,0.36865211124999997,0.19893109969021353
60,p_loss,4,0.200143199723,0.08472615982500001,0.3392021045,0.1970048116617554
60,p_loss,5,0.288392762461,0.149321805,0.4522223644999999,0.4599846235067773
60,p_loss,6,0.146892855424,0.054541471625000004,0.24538506175,0.1641003315848248
60,p_loss,7,0.26342526642,0.13678985124999998,0.41264152275,0.13408985070567153
60,p_loss,8,0.20958437274,0.10109239905,0.33685551249999995,0.3478408384765292
60,p_loss,9,0.1417435899783,0.045557211925,0.25389490174999996,0.10651249838722975
60,p_loss,10,0.191002063483,0.073603037425,0.30442788675,0.20749783165896699
60,p_loss,11,0.21920323051499999,0.09661523095,0.3532888679999999,0.2553619443346747
60,p_loss,12,0.26718813804,0.129165686,0.41907694674999996,0.23149960718965168
60,p_loss,13,0.1920275598621,0.084591919175,0.33003327424999995,0.18802942923386456
60,p_loss,14,0.149505948619,0.051282508325,0.2665514662499999,0.14067450199378195
60,p_loss,15,0.210099918724,0.078469149575,0.3466482415,0.07929711775911492
60,p_loss,16,0.214287073358,0.0963104652,0.33261933625,0.1897616645995585
60,p_loss,17,0.29256133356,0.160109878,0.44317008849999995,0.382253754282318
60,p_loss,18,0.165094165228,0.057235834075000006,0.28326004424999995,0.1097087500106588
