param,mean,q025,q975,T,sim_id,true
p_win,0.82548657474,0.65649355825,0.9563203867500001,60,6,0.9038734145441983
p_loss,0.13718324999439999,0.03072181365,0.26292813749999994,60,6,0.10683349850029353
lapse,0.1583859179667,0.025726405325,0.36349396274999995,60,6,0.203055239111772
p_win,0.66497025019,0.47628534,0.869148075,60,7,0.7417327075273099
p_loss,0.383712757297,0.17415870775,0.576698487,60,7,0.4890516620898369
lapse,0.2324378991815,0.028340647925,0.5313568124999999,60,7,0.1219780582143571
p_win,0.7147807278,0.5256789612499999,0.9001006032499999,60,8,0.7585456309468901
p_loss,0.263569302677,0.07980905555,0.4618504269999999,60,8,0.3862280301626022
lapse,0.238996863781,0.04511532202500001,0.49917466474999994,60,8,0.3156653972136888
p_win,0.81382683254,0.648256972,0.9552308792499999,60,9,0.6525928696481793
p_loss,0.2220940897882,0.06602512117499999,0.39335153,60,9,0.3228614296100388
lapse,0.1941489323251,0.031437807975,0.4324059355,60,9,0.07495382911689885
p_win,0.86330727818,0.72897176475,0.974397478,60,10,0.9526321077909454
p_loss,0.229744387785,0.07973242275,0.4159012999999999,60,10,0.22152963996488856
lapse,0.16676044766988,0.015123693850000001,0.36259363175000003,60,10,0.2943834721029247
p_win,0.8109245262,0.64967716775,0.9436101922499999,60,11,0.8527475826027656
p_loss,0.0794357211443,0.015434223700000001,0.17757832399999998,60,11,0.05678369674776102
lapse,0.1115446260669,0.016871472375000002,0.27351215725,60,11,0.0770416704947103
p_win,0.86541586674,0.71681158325,0.9743705600000001,60,12,0.9304154425426067
p_loss,0.290720690764,0.10446835982500001,0.48159607374999996,60,12,0.2535204902008736
lapse,0.1773332413267,0.0247030052,0.4072655434999999,60,12,0.1435844237696155
p_win,0.85775640741,0.72118727725,0.965415812,60,13,0.8271704521943877
p_loss,0.140266850368,0.033682206575000005,0.29648984999999994,60,13,0.14633075020393754
lapse,0.1457855256632,0.026337886075,0.33803537824999996,60,13,0.22597934309219672
p_win,0.87571321996,0.736177282,0.9777311415,60,14,0.9043757449095328
p_loss,0.291916238422,0.12860818775,0.48655341524999995,60,14,0.3019261317314337
lapse,0.1720475849612,0.027804739425000002,0.37714616949999996,60,14,0.14503386762477313
p_win,0.81046332704,0.6623926385,0.94552310975,60,15,0.7514934182724328
p_loss,0.167939751838,0.040352273425,0.32600181599999994,60,15,0.2832809216695937
lapse,0.1847043589767,0.035384418625000004,0.40508684999999994,60,15,0.025251778312321366
p_win,0.80230496789,0.63236360675,0.9454626475,60,16,0.5664650774187904
p_loss,0.343510901802,0.15412282124999999,0.53173946225,60,16,0.19608360323472773
lapse,0.2084018881862,0.041181934,0.44915090025,60,16,0.13387429026014822
p_win,0.83280939659,0.6816883587500001,0.9528559537499999,60,17,0.805773866669906
p_loss,0.252995518442,0.0955530483,0.4126111759999999,60,17,0.4861014237277359
lapse,0.1857925127308,0.034465004449999996,0.4038735634999998,60,17,0.04515600025394265
p_win,0.88842230469,0.7701666687500001,0.9745388722499999,60,18,0.8107133041451967
p_loss,0.156375685878,0.0376594595,0.311187587,60,18,0.04021115613272575
lapse,0.1390933288259,0.021682571600000002,0.31586927499999995,60,18,0.22456787615359422
p_win,0.81613863201,0.6149130595,0.9634179635,60,19,0.6640705999810578
p_loss,0.211312826775,0.06237631105000001,0.3722427,60,19,0.29112335029049785
lapse,0.2028741330307,0.027349241600000004,0.43584710424999995,60,19,0.02035693115649665
p_win,0.87379418177,0.71973915275,0.9750006795,60,20,0.8171120550310693
p_loss,0.268478458053,0.09634810585,0.45383740975000003,60,20,0.4126535011729708
lapse,0.165554881094,0.024258660100000003,0.37579378425,60,20,0.03146602899719018
p_win,0.79652355137,0.6190860452499999,0.9343910225,60,21,0.6612655618886953
p_loss,0.1448129138396,0.027280066725000003,0.29093923725000004,60,21,0.1348852924285146
lapse,0.172051586826,0.0317552511,0.369903029,60,21,0.03672026164929733
p_win,0.79415129018,0.6068564612499999,0.954119091,60,22,0.9496533053720497
p_loss,0.2223162794459,0.048323162649999994,0.39559098824999994,60,22,0.06788649500692626
lapse,0.203280385108,0.041012915000000004,0.448833091,60,22,0.38891873882858874
p_win,0.80760818312,0.639321546,0.951314781,60,23,0.8446192737854784
p_loss,0.258382532973,0.06990375307499999,0.4392546977499999,60,23,0.15587737042325517
lapse,0.2138783001984,0.03361393425,0.4636395895,60,23,0.3293039244417509
p_win,0.87029469372,0.7351008205,0.976913714,60,24,0.84917118622929455
p_loss,0.242695950355,0.08541357755,0.4083401315,60,24,0.3785642707206957
lapse,0.1677294845813,0.031523945775000006,0.37744993149999995,60,24,0.11066822455846285
p_win,0.78640744104,0.6369125529999999,0.93912220675,60,25,0.8211985245595097
p_loss,0.205197714195,0.05382623945,0.38530357374999996,60,25,0.2820105328870693
lapse,0.195637688397,0.034308228125000007,0.41968801899999997,60,25,0.18324735292828861
p_win,0.85761778579,0.720096288,0.965685879,60,26,0.8362114655294994
p_loss,0.0884628314707,0.014193958050000002,0.209884547,60,26,0.06164935698262949
lapse,0.1110439003533,0.014145645850000001,0.26933597649999996,60,26,0.10573461330726906
