pairing,opponent,strategy,position,sim_id,payoff_total,payoff_matcher,payoff_mismatcher,role_advantage,winrate,n_win_first,rep_win_first,n_loss_first,rep_loss_first,n_win_second,rep_win_second,n_loss_second,rep_loss_second
WSLS vs WSLS,WSLS,WSLS,A,67,0,2,-2,4,0.5,26,14,24,12,24,14,25,12
WSLS vs WSLS,WSLS,WSLS,B,67,-0,2,-2,4,0.5,24,15,26,14,25,15,24,17
WSLS vs WSLS,WSLS,WSLS,A,68,4,2,2,0,0.52,26,10,24,12,26,21,23,16
WSLS vs WSLS,WSLS,WSLS,B,68,-4,-2,-2,0,0.48,24,11,26,16,23,17,26,15
WSLS vs WSLS,WSLS,WSLS,A,69,-4,-2,-2,0,0.48,24,14,26,11,23,16,26,18
WSLS vs WSLS,WSLS,WSLS,B,69,4,2,2,0,0.52,26,15,24,18,26,14,23,12
WSLS vs WSLS,WSLS,WSLS,A,70,8,0,8,-8,0.54,25,14,25,16,29,17,20,8
WSLS vs WSLS,WSLS,WSLS,B,70,-8,-8,-0,-8,0.45999999999999996,25,14,25,17,20,10,29,14
WSLS vs WSLS,WSLS,WSLS,A,71,8,4,4,0,0.54,27,15,23,13,26,12,23,13
WSLS vs WSLS,WSLS,WSLS,B,71,-8,-4,-4,0,0.45999999999999996,23,13,27,11,23,12,26,18
WSLS vs WSLS,WSLS,WSLS,A,72,-8,-4,-4,0,0.46,23,14,27,15,22,12,27,18
WSLS vs WSLS,WSLS,WSLS,B,72,8,4,4,0,0.54,27,15,23,11,27,15,22,16
WSLS vs WSLS,WSLS,WSLS,A,73,4,4,0,4,0.52,27,11,23,14,25,13,24,18
WSLS vs WSLS,WSLS,WSLS,B,73,-4,-0,-4,4,0.48,23,14,27,15,24,13,25,11
WSLS vs WSLS,WSLS,WSLS,A,74,10,10,0,10,0.55,30,17,20,13,25,12,24,13
WSLS vs WSLS,WSLS,WSLS,B,74,-10,-0,-10,10,0.44999999999999996,20,12,30,15,24,15,25,15
WSLS vs WSLS,WSLS,WSLS,A,75,6,-6,12,-18,0.53,22,10,28,21,30,23,19,10
WSLS vs WSLS,WSLS,WSLS,B,75,-6,-12,6,-18,0.47,28,19,22,13,19,10,30,19
WSLS vs WSLS,WSLS,WSLS,A,76,0,2,-2,4,0.5,26,17,24,18,23,14,26,14
WSLS vs WSLS,WSLS,WSLS,B,76,-0,2,-2,4,0.5,24,14,26,19,26,12,23,11
WSLS vs WSLS,WSLS,WSLS,A,77,6,6,0,6,0.53,28,14,22,12,25,15,24,13
WSLS vs WSLS,WSLS,WSLS,B,77,-6,-0,-6,6,0.47,22,16,28,11,24,12,25,15
WSLS vs WSLS,WSLS,WSLS,A,78,-20,-2,-18,16,0.4,24,15,26,17,16,8,33,18
WSLS vs WSLS,WSLS,WSLS,B,78,20,18,2,16,0.6,26,19,24,18,33,19,16,7
WSLS vs WSLS,WSLS,WSLS,A,79,-4,-2,-2,0,0.48,24,13,26,15,23,14,26,14
WSLS vs WSLS,WSLS,WSLS,B,79,4,2,2,0,0.52,26,15,24,15,26,14,23,13
WSLS vs WSLS,WSLS,WSLS,A,80,-8,-8,0,-8,0.46,21,14,29,20,24,12,25,11
WSLS vs WSLS,WSLS,WSLS,B,80,8,-0,8,-8,0.54,29,16,21,7,25,15,24,11
WSLS vs WSLS,WSLS,WSLS,A,81,-20,-10,-10,0,0.4,20,13,30,19,19,11,30,15
WSLS vs WSLS,WSLS,WSLS,B,81,20,10,10,0,0.6,30,18,20,13,30,17,19,9
WSLS vs WSLS,WSLS,WSLS,A,82,4,6,-2,8,0.52,28,17,22,13,24,15,25,20
WSLS vs WSLS,WSLS,WSLS,B,82,-4,2,-6,8,0.48,22,16,28,14,25,13,24,15
WSLS vs WSLS,WSLS,WSLS,A,83,10,10,0,10,0.55,30,18,20,9,24,14,25,17
WSLS vs WSLS,WSLS,WSLS,B,83,-10,-0,-10,10,0.44999999999999996,20,9,30,14,25,11,24,15
WSLS vs WSLS,WSLS,WSLS,A,84,2,8,-6,14,0.51,29,15,21,14,22,13,27,18
WSLS vs WSLS,WSLS,WSLS,B,84,-2,6,-8,14,0.49,21,13,29,14,27,14,22,11
WSLS vs WSLS,WSLS,WSLS,A,85,-12,-4,-8,4,0.44,23,12,27,18,21,13,28,18
WSLS vs WSLS,WSLS,WSLS,B,85,12,8,4,4,0.56,27,18,23,10,28,20,21,11
WSLS vs WSLS,WSLS,WSLS,A,86,12,-6,18,-24,0.56,22,12,28,15,33,22,16,9
WSLS vs WSLS,WSLS,WSLS,B,86,-12,-18,6,-24,0.43999999999999995,28,16,22,15,16,9,33,20
WSLS vs WSLS,WSLS,WSLS,A,87,-6,-14,8,-22,0.47,18,13,32,15,29,18,20,15
WSLS vs WSLS,WSLS,WSLS,B,87,6,-8,14,-22,0.53,32,18,18,11,20,14,29,18
WSLS vs WSLS,WSLS,WSLS,A,88,4,-4,8,-12,0.52,23,14,27,16,28,19,21,9
WSLS vs WSLS,WSLS,WSLS,B,88,-4,-8,4,-12,0.48,27,14,23,11,21,10,28,20
WSLS vs WSLS,WSLS,WSLS,A,89,-2,2,-4,6,0.49,26,16,24,16,22,9,27,13
WSLS vs WSLS,WSLS,WSLS,B,89,2,4,-2,6,0.51,24,14,26,11,27,17,22,13
WSLS vs WSLS,WSLS,WSLS,A,90,6,4,2,2,0.53,27,17,23,14,26,17,23,13
WSLS vs WSLS,WSLS,WSLS,B,90,-6,-2,-4,2,0.47,23,12,27,12,23,14,26,15
WSLS vs WSLS,WSLS,WSLS,A,91,-4,2,-6,8,0.48,26,14,24,14,21,13,28,13
WSLS vs WSLS,WSLS,WSLS,B,91,4,6,-2,8,0.52,24,9,26,9,28,19,21,12
WSLS vs WSLS,WSLS,WSLS,A,92,26,8,18,-10,0.63,29,19,21,9,33,16,16,7
WSLS vs WSLS,WSLS,WSLS,B,92,-26,-18,-8,-10,0.37,21,13,29,15,16,10,33,19
WSLS vs WSLS,WSLS,WSLS,A,93,-6,0,-6,6,0.47,25,14,25,14,22,10,27,15
WSLS vs WSLS,WSLS,WSLS,B,93,6,6,-0,6,0.53,25,10,25,12,27,14,22,12
WSLS vs WSLS,WSLS,WSLS,A,94,2,-2,4,-6,0.51,24,17,26,20,27,16,22,14
WSLS vs WSLS,WSLS,WSLS,B,94,-2,-4,2,-6,0.49,26,17,24,13,22,15,27,14
WSLS vs WSLS,WSLS,WSLS,A,95,-12,0,-12,12,0.44,25,13,25,13,19,12,30,15
WSLS vs WSLS,WSLS,WSLS,B,95,12,12,-0,12,0.56,25,11,25,15,30,18,19,12
WSLS vs WSLS,WSLS,WSLS,A,96,2,6,-4,10,0.51,28,14,22,10,22,10,27,15
WSLS vs WSLS,WSLS,WSLS,B,96,-2,4,-6,10,0.49,22,11,28,15,27,18,22,14
WSLS vs WSLS,WSLS,WSLS,A,97,4,-6,10,-16,0.52,22,10,28,17,30,17,19,11
