pairing,A,B,sim_id,total_payoff_A,payoff_first_A,payoff_second_A,swing_A,winrate_A
WSLS vs kToM,WSLS,kToM,162,-8,-2,-6,-4,0.46
WSLS vs kToM,WSLS,kToM,163,0,4,-4,-8,0.5
WSLS vs kToM,WSLS,kToM,164,-2,-6,4,10,0.49
WSLS vs kToM,WSLS,kToM,165,-12,-4,-8,-4,0.44
WSLS vs kToM,WSLS,kToM,166,-10,-10,0,10,0.45
WSLS vs kToM,WSLS,kToM,167,6,4,2,-2,0.53
WSLS vs kToM,WSLS,kToM,168,8,10,-2,-12,0.54
WSLS vs kToM,WSLS,kToM,169,-26,-8,-18,-10,0.37
WSLS vs kToM,WSLS,kToM,170,-4,-6,2,8,0.48
WSLS vs kToM,WSLS,kToM,171,-18,-12,-6,6,0.41
WSLS vs kToM,WSLS,kToM,172,6,0,6,6,0.53
WSLS vs kToM,WSLS,kToM,173,8,8,0,-8,0.54
WSLS vs kToM,WSLS,kToM,174,-16,-8,-8,0,0.42
WSLS vs kToM,WSLS,kToM,175,-2,-6,4,10,0.49
WSLS vs kToM,WSLS,kToM,176,-10,-8,-2,6,0.45
WSLS vs kToM,WSLS,kToM,177,-4,-10,6,16,0.48
WSLS vs kToM,WSLS,kToM,178,-2,2,-4,-6,0.49
WSLS vs kToM,WSLS,kToM,179,-26,-22,-4,18,0.37
WSLS vs kToM,WSLS,kToM,180,0,-4,4,8,0.5
WSLS vs kToM,WSLS,kToM,181,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,182,10,4,6,2,0.55
WSLS vs kToM,WSLS,kToM,183,-8,-4,-4,0,0.46
WSLS vs kToM,WSLS,kToM,184,-20,-18,-2,16,0.4
WSLS vs kToM,WSLS,kToM,185,-22,-14,-8,6,0.39
WSLS vs kToM,WSLS,kToM,186,-18,-12,-6,6,0.41
WSLS vs kToM,WSLS,kToM,187,-2,-14,12,26,0.49
WSLS vs kToM,WSLS,kToM,188,10,4,6,2,0.55
WSLS vs kToM,WSLS,kToM,189,8,8,0,-8,0.54
WSLS vs kToM,WSLS,kToM,190,-6,2,-8,-10,0.47
WSLS vs kToM,WSLS,kToM,191,-8,-4,-4,0,0.46
WSLS vs kToM,WSLS,kToM,192,2,-2,4,6,0.51
WSLS vs kToM,WSLS,kToM,193,4,0,4,4,0.52
WSLS vs kToM,WSLS,kToM,194,-2,-6,4,10,0.49
WSLS vs kToM,WSLS,kToM,195,-20,-10,-10,0,0.4
WSLS vs kToM,WSLS,kToM,196,-4,-6,2,8,0.48
WSLS vs kToM,WSLS,kToM,197,-12,-12,0,12,0.44
WSLS vs kToM,WSLS,kToM,198,6,0,6,6,0.53
WSLS vs kToM,WSLS,kToM,199,4,-2,6,8,0.52
WSLS vs kToM,WSLS,kToM,200,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,201,4,4,0,-4,0.52
WSLS vs kToM,WSLS,kToM,202,-10,-2,-8,-6,0.45
WSLS vs kToM,WSLS,kToM,203,-16,-10,-6,4,0.42
WSLS vs kToM,WSLS,kToM,204,-12,0,-12,-12,0.44
WSLS vs kToM,WSLS,kToM,205,-6,-14,8,22,0.47
WSLS vs kToM,WSLS,kToM,206,8,2,6,4,0.54
WSLS vs kToM,WSLS,kToM,207,-2,-6,4,10,0.49
WSLS vs kToM,WSLS,kToM,208,6,6,0,-6,0.53
WSLS vs kToM,WSLS,kToM,209,-12,-4,-8,-4,0.44
WSLS vs kToM,WSLS,kToM,210,-16,-12,-4,8,0.42
WSLS vs kToM,WSLS,kToM,211,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,212,-22,-14,-8,6,0.39
WSLS vs kToM,WSLS,kToM,213,0,2,-2,-4,0.5
WSLS vs kToM,WSLS,kToM,214,-14,-2,-12,-10,0.43
WSLS vs kToM,WSLS,kToM,215,-14,-8,-6,2,0.43
WSLS vs kToM,WSLS,kToM,216,-2,2,-4,-6,0.49
WSLS vs kToM,WSLS,kToM,217,-12,-6,-6,0,0.44
WSLS vs kToM,WSLS,kToM,218,-2,-4,2,6,0.49
WSLS vs kToM,WSLS,kToM,219,-2,8,-10,-18,0.49
WSLS vs kToM,WSLS,kToM,220,-2,-10,8,18,0.49
WSLS vs kToM,WSLS,kToM,221,-8,-4,-4,0,0.46
WSLS vs kToM,WSLS,kToM,222,-6,-8,2,10,0.47
WSLS vs kToM,WSLS,kToM,223,4,2,2,0,0.52
WSLS vs kToM,WSLS,kToM,224,-16,-8,-8,0,0.42
WSLS vs kToM,WSLS,kToM,225,-14,6,-20,-26,0.43
WSLS vs kToM,WSLS,kToM,226,-8,0,-8,-8,0.46
WSLS vs kToM,WSLS,kToM,227,0,-10,10,20,0.5
WSLS vs kToM,WSLS,kToM,228,10,-4,14,18,0.55
WSLS vs kToM,WSLS,kToM,229,-14,-8,-6,2,0.43
WSLS vs kToM,WSLS,kToM,230,8,-2,10,12,0.54
WSLS vs kToM,WSLS,kToM,231,-6,2,-8,-10,0.47
WSLS vs kToM,WSLS,kToM,232,-6,4,-10,-14,0.47
WSLS vs kToM,WSLS,kToM,233,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,234,-6,-10,4,14,0.47
WSLS vs kToM,WSLS,kToM,235,0,-2,2,4,0.5
WSLS vs kToM,WSLS,kToM,236,-6,8,-14,-22,0.47
WSLS vs kToM,WSLS,kToM,237,-12,-6,-6,0,0.44
WSLS vs kToM,WSLS,kToM,238,-4,4,-8,-12,0.48
WSLS vs kToM,WSLS,kToM,239,2,10,-8,-18,0.51
WSLS vs kToM,WSLS,kToM,240,6,0,6,6,0.53
WSLS vs kToM,WSLS,kToM,241,-6,-10,4,14,0.47
WSLS vs kToM,WSLS,kToM,242,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,243,-14,-4,-10,-6,0.43
WSLS vs kToM,WSLS,kToM,244,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,245,4,4,0,-4,0.52
WSLS vs kToM,WSLS,kToM,246,-2,-2,0,2,0.49
WSLS vs kToM,WSLS,kToM,247,-12,-8,-4,4,0.44
WSLS vs kToM,WSLS,kToM,248,-8,-6,-2,4,0.46
WSLS vs kToM,WSLS,kToM,249,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,250,2,2,0,-2,0.51
WSLS vs kToM,WSLS,kToM,251,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,252,-6,6,-12,-18,0.47
WSLS vs kToM,WSLS,kToM,253,-12,-10,-2,8,0.44
WSLS vs kToM,WSLS,kToM,254,-2,-2,0,2,0.49
WSLS vs kToM,WSLS,kToM,255,-6,10,-16,-26,0.47
WSLS vs kToM,WSLS,kToM,256,0,8,-8,-16,0.5
WSLS vs kToM,WSLS,kToM,257,2,6,-4,-10,0.51
WSLS vs kToM,WSLS,kToM,258,-20,-16,-4,12,0.4
WSLS vs kToM,WSLS,kToM,259,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,260,-10,2,-12,-14,0.45
WSLS vs kToM,WSLS,kToM,261,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,262,-4,0,-4,-4,0.48
WSLS vs kToM,WSLS,kToM,263,-2,2,-4,-6,0.49
WSLS vs kToM,WSLS,kToM,264,16,10,6,-4,0.58
WSLS vs kToM,WSLS,kToM,265,-8,-10,2,12,0.46
WSLS vs kToM,WSLS,kToM,266,-8,2,-10,-12,0.46
WSLS vs kToM,WSLS,kToM,267,-12,-12,0,12,0.44
WSLS vs kToM,WSLS,kToM,268,-4,-20,16,36,0.48
WSLS vs kToM,WSLS,kToM,269,10,4,6,2,0.55
WSLS vs kToM,WSLS,kToM,270,-12,-4,-8,-4,0.44
WSLS vs kToM,WSLS,kToM,271,-12,-6,-6,0,0.44
WSLS vs kToM,WSLS,kToM,272,0,10,-10,-20,0.5
WSLS vs kToM,WSLS,kToM,273,-16,-8,-8,0,0.42
WSLS vs kToM,WSLS,kToM,274,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,275,-6,-6,0,6,0.47
WSLS vs kToM,WSLS,kToM,276,-10,0,-10,-10,0.45
WSLS vs kToM,WSLS,kToM,277,-2,0,-2,-2,0.49
WSLS vs kToM,WSLS,kToM,278,6,8,-2,-10,0.53
WSLS vs kToM,WSLS,kToM,279,-10,-12,2,14,0.45
WSLS vs kToM,WSLS,kToM,280,-32,-16,-16,0,0.34
WSLS vs kToM,WSLS,kToM,281,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,282,-10,-14,4,18,0.45
WSLS vs kToM,WSLS,kToM,283,0,10,-10,-20,0.5
WSLS vs kToM,WSLS,kToM,284,-8,4,-12,-16,0.46
WSLS vs kToM,WSLS,kToM,285,0,0,0,0,0.5
WSLS vs kToM,WSLS,kToM,286,-16,-2,-14,-12,0.42
WSLS vs kToM,WSLS,kToM,287,8,8,0,-8,0.54
WSLS vs kToM,WSLS,kToM,288,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,289,-24,-10,-14,-4,0.38
WSLS vs kToM,WSLS,kToM,290,0,2,-2,-4,0.5
WSLS vs kToM,WSLS,kToM,291,-14,0,-14,-14,0.43
WSLS vs kToM,WSLS,kToM,292,-12,-12,0,12,0.44
WSLS vs kToM,WSLS,kToM,293,6,4,2,-2,0.53
WSLS vs kToM,WSLS,kToM,294,-18,-14,-4,10,0.41
WSLS vs kToM,WSLS,kToM,295,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,296,-6,-4,-2,2,0.47
WSLS vs kToM,WSLS,kToM,297,4,8,-4,-12,0.52
WSLS vs kToM,WSLS,kToM,298,-24,-12,-12,0,0.38
WSLS vs kToM,WSLS,kToM,299,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,300,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,301,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,302,-12,-2,-10,-8,0.44
WSLS vs kToM,WSLS,kToM,303,-8,2,-10,-12,0.46
WSLS vs kToM,WSLS,kToM,304,-10,-6,-4,2,0.45
WSLS vs kToM,WSLS,kToM,305,-14,-2,-12,-10,0.43
WSLS vs kToM,WSLS,kToM,306,2,-4,6,10,0.51
WSLS vs kToM,WSLS,kToM,307,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,308,8,-2,10,12,0.54
WSLS vs kToM,WSLS,kToM,309,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,310,12,12,0,-12,0.56
WSLS vs kToM,WSLS,kToM,311,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,312,12,14,-2,-16,0.56
WSLS vs kToM,WSLS,kToM,313,-6,4,-10,-14,0.47
WSLS vs kToM,WSLS,kToM,314,2,0,2,2,0.51
WSLS vs kToM,WSLS,kToM,315,4,4,0,-4,0.52
WSLS vs kToM,WSLS,kToM,316,-8,-6,-2,4,0.46
WSLS vs kToM,WSLS,kToM,317,0,-6,6,12,0.5
WSLS vs kToM,WSLS,kToM,318,-20,-10,-10,0,0.4
WSLS vs kToM,WSLS,kToM,319,-4,-6,2,8,0.48
WSLS vs kToM,WSLS,kToM,320,-2,0,-2,-2,0.49
WSLS vs kToM,WSLS,kToM,321,-6,-8,2,10,0.47
WSLS vs kToM,WSLS,kToM,322,-8,2,-10,-12,0.46
WSLS vs kToM,WSLS,kToM,323,-12,-8,-4,4,0.44
WSLS vs kToM,WSLS,kToM,324,-16,-8,-8,0,0.42
WSLS vs kToM,WSLS,kToM,325,-4,0,-4,-4,0.48
WSLS vs kToM,WSLS,kToM,326,-2,2,-4,-6,0.49
WSLS vs kToM,WSLS,kToM,327,-14,-14,0,14,0.43
WSLS vs kToM,WSLS,kToM,328,4,-2,6,8,0.52
WSLS vs kToM,WSLS,kToM,329,-18,-4,-14,-10,0.41
WSLS vs kToM,WSLS,kToM,330,4,2,2,0,0.52
WSLS vs kToM,WSLS,kToM,331,-16,-14,-2,12,0.42
WSLS vs kToM,WSLS,kToM,332,6,-4,10,14,0.53
WSLS vs kToM,WSLS,kToM,333,-26,-14,-12,2,0.37
WSLS vs kToM,WSLS,kToM,334,6,4,2,-2,0.53
WSLS vs kToM,WSLS,kToM,335,-28,-6,-22,-16,0.36
WSLS vs kToM,WSLS,kToM,336,2,6,-4,-10,0.51
WSLS vs kToM,WSLS,kToM,337,-8,0,-8,-8,0.46
WSLS vs kToM,WSLS,kToM,338,-16,4,-20,-24,0.42
WSLS vs kToM,WSLS,kToM,339,-2,-6,4,10,0.49
WSLS vs kToM,WSLS,kToM,340,-12,-8,-4,4,0.44
WSLS vs kToM,WSLS,kToM,341,-12,-12,0,12,0.44
WSLS vs kToM,WSLS,kToM,342,-18,-4,-14,-10,0.41
WSLS vs kToM,WSLS,kToM,343,6,10,-4,-14,0.53
WSLS vs kToM,WSLS,kToM,344,-18,-16,-2,14,0.41
WSLS vs kToM,WSLS,kToM,345,-8,-2,-6,-4,0.46
WSLS vs kToM,WSLS,kToM,346,0,0,0,0,0.5
WSLS vs kToM,WSLS,kToM,347,-12,-4,-8,-4,0.44
WSLS vs kToM,WSLS,kToM,348,-2,10,-12,-22,0.49
WSLS vs kToM,WSLS,kToM,349,-2,4,-6,-10,0.49
WSLS vs kToM,WSLS,kToM,350,2,2,0,-2,0.51
WSLS vs kToM,WSLS,kToM,351,0,4,-4,-8,0.5
WSLS vs kToM,WSLS,kToM,352,-20,-16,-4,12,0.4
WSLS vs kToM,WSLS,kToM,353,-40,-26,-14,12,0.3
WSLS vs kToM,WSLS,kToM,354,-14,-6,-8,-2,0.43
WSLS vs kToM,WSLS,kToM,355,12,12,0,-12,0.56
WSLS vs kToM,WSLS,kToM,356,-18,-10,-8,2,0.41
WSLS vs kToM,WSLS,kToM,357,-18,-12,-6,6,0.41
WSLS vs kToM,WSLS,kToM,358,2,8,-6,-14,0.51
WSLS vs kToM,WSLS,kToM,359,6,6,0,-6,0.53
WSLS vs kToM,WSLS,kToM,360,8,-2,10,12,0.54
WSLS vs kToM,WSLS,kToM,361,-2,0,-2,-2,0.49
WSLS vs kToM,WSLS,kToM,362,-10,-8,-2,6,0.45
WSLS vs kToM,WSLS,kToM,363,-12,-2,-10,-8,0.44
WSLS vs kToM,WSLS,kToM,364,-16,-8,-8,0,0.42
WSLS vs kToM,WSLS,kToM,365,6,-4,10,14,0.53
WSLS vs kToM,WSLS,kToM,366,-8,-6,-2,4,0.46
WSLS vs kToM,WSLS,kToM,367,14,8,6,-2,0.57
WSLS vs kToM,WSLS,kToM,368,-22,-6,-16,-10,0.39
WSLS vs kToM,WSLS,kToM,369,-18,-14,-4,10,0.41
WSLS vs kToM,WSLS,kToM,370,-14,-6,-8,-2,0.43
WSLS vs kToM,WSLS,kToM,371,-22,-4,-18,-14,0.39
WSLS vs kToM,WSLS,kToM,372,2,2,0,-2,0.51
WSLS vs kToM,WSLS,kToM,373,0,4,-4,-8,0.5
WSLS vs kToM,WSLS,kToM,374,-2,-4,2,6,0.49
WSLS vs kToM,WSLS,kToM,375,-2,0,-2,-2,0.49
WSLS vs kToM,WSLS,kToM,376,22,12,10,-2,0.61
WSLS vs kToM,WSLS,kToM,377,-6,-8,2,10,0.47
WSLS vs kToM,WSLS,kToM,378,4,0,4,4,0.52
WSLS vs kToM,WSLS,kToM,379,8,2,6,4,0.54
WSLS vs kToM,WSLS,kToM,380,-10,-10,0,10,0.45
WSLS vs kToM,WSLS,kToM,381,-18,-8,-10,-2,0.41
WSLS vs kToM,WSLS,kToM,382,-14,-14,0,14,0.43
WSLS vs kToM,WSLS,kToM,383,0,8,-8,-16,0.5
WSLS vs kToM,WSLS,kToM,384,-4,10,-14,-24,0.48
WSLS vs kToM,WSLS,kToM,385,-22,-6,-16,-10,0.39
WSLS vs kToM,WSLS,kToM,386,12,6,6,0,0.56
WSLS vs kToM,WSLS,kToM,387,-12,-8,-4,4,0.44
WSLS vs kToM,WSLS,kToM,388,4,4,0,-4,0.52
WSLS vs kToM,WSLS,kToM,389,-14,-2,-12,-10,0.43
WSLS vs kToM,WSLS,kToM,390,2,-2,4,6,0.51
WSLS vs kToM,WSLS,kToM,391,-8,0,-8,-8,0.46
WSLS vs kToM,WSLS,kToM,392,2,2,0,-2,0.51
WSLS vs kToM,WSLS,kToM,393,6,6,0,-6,0.53
WSLS vs kToM,WSLS,kToM,394,4,12,-8,-20,0.52
WSLS vs kToM,WSLS,kToM,395,-20,-20,0,20,0.4
WSLS vs kToM,WSLS,kToM,396,-14,-8,-6,2,0.43
WSLS vs kToM,WSLS,kToM,397,-12,-18,6,24,0.44
WSLS vs kToM,WSLS,kToM,398,-16,-4,-12,-8,0.42
WSLS vs kToM,WSLS,kToM,399,0,-4,4,8,0.5
WSLS vs kToM,WSLS,kToM,400,2,2,0,-2,0.51
WSLS vs kToM,WSLS,kToM,401,-10,-8,-2,6,0.45
WSLS vs kToM,WSLS,kToM,402,2,8,-6,-14,0.51
WSLS vs kToM,WSLS,kToM,403,-16,-6,-10,-4,0.42
WSLS vs kToM,WSLS,kToM,404,0,-8,8,16,0.5
WSLS vs kToM,WSLS,kToM,405,-12,-10,-2,8,0.44
WSLS vs kToM,WSLS,kToM,406,-4,0,-4,-4,0.48
WSLS vs kToM,WSLS,kToM,407,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,408,6,2,4,2,0.53
WSLS vs kToM,WSLS,kToM,409,4,4,0,-4,0.52
WSLS vs kToM,WSLS,kToM,410,-6,6,-12,-18,0.47
WSLS vs kToM,WSLS,kToM,411,-18,-12,-6,6,0.41
WSLS vs kToM,WSLS,kToM,412,-16,-10,-6,4,0.42
WSLS vs kToM,WSLS,kToM,413,-22,-12,-10,2,0.39
WSLS vs kToM,WSLS,kToM,414,-12,-8,-4,4,0.44
WSLS vs kToM,WSLS,kToM,415,-4,4,-8,-12,0.48
WSLS vs kToM,WSLS,kToM,416,-18,-8,-10,-2,0.41
WSLS vs kToM,WSLS,kToM,417,-22,-4,-18,-14,0.39
WSLS vs kToM,WSLS,kToM,418,0,6,-6,-12,0.5
WSLS vs kToM,WSLS,kToM,419,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,420,-2,-4,2,6,0.49
WSLS vs kToM,WSLS,kToM,421,0,4,-4,-8,0.5
WSLS vs kToM,WSLS,kToM,422,0,4,-4,-8,0.5
WSLS vs kToM,WSLS,kToM,423,-14,-8,-6,2,0.43
WSLS vs kToM,WSLS,kToM,424,-4,2,-6,-8,0.48
WSLS vs kToM,WSLS,kToM,425,-18,-10,-8,2,0.41
WSLS vs kToM,WSLS,kToM,426,-10,-10,0,10,0.45
WSLS vs kToM,WSLS,kToM,427,-10,-4,-6,-2,0.45
WSLS vs kToM,WSLS,kToM,428,12,4,8,4,0.56
WSLS vs kToM,WSLS,kToM,429,6,10,-4,-14,0.53
WSLS vs kToM,WSLS,kToM,430,-2,-4,2,6,0.49
WSLS vs kToM,WSLS,kToM,431,-14,2,-16,-18,0.43
WSLS vs kToM,WSLS,kToM,432,-26,-14,-12,2,0.37
WSLS vs kToM,WSLS,kToM,433,-4,2,-6,-8,0.48
WSLS vs kToM,WSLS,kToM,434,-8,2,-10,-12,0.46
WSLS vs kToM,WSLS,kToM,435,4,-6,10,16,0.52
WSLS vs kToM,WSLS,kToM,436,-8,-2,-6,-4,0.46
WSLS vs kToM,WSLS,kToM,437,-14,-2,-12,-10,0.43
WSLS vs kToM,WSLS,kToM,438,-6,-6,0,6,0.47
WSLS vs kToM,WSLS,kToM,439,6,2,4,2,0.53
WSLS vs kToM,WSLS,kToM,440,2,-6,8,14,0.51
WSLS vs kToM,WSLS,kToM,441,-12,-8,-4,4,0.44
WSLS vs kToM,WSLS,kToM,442,-4,0,-4,-4,0.48
WSLS vs kToM,WSLS,kToM,443,-10,-8,-2,6,0.45
WSLS vs kToM,WSLS,kToM,444,-6,-10,4,14,0.47
WSLS vs kToM,WSLS,kToM,445,-6,-10,4,14,0.47
WSLS vs kToM,WSLS,kToM,446,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,447,4,6,-2,-8,0.52
WSLS vs kToM,WSLS,kToM,448,0,-8,8,16,0.5
WSLS vs kToM,WSLS,kToM,449,-26,-10,-16,-6,0.37
WSLS vs kToM,WSLS,kToM,450,-14,-12,-2,10,0.43
WSLS vs kToM,WSLS,kToM,451,-24,-16,-8,8,0.38
WSLS vs kToM,WSLS,kToM,452,-16,-4,-12,-8,0.42
WSLS vs kToM,WSLS,kToM,453,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,454,-10,-10,0,10,0.45
WSLS vs kToM,WSLS,kToM,455,0,4,-4,-8,0.5
WSLS vs kToM,WSLS,kToM,456,8,8,0,-8,0.54
WSLS vs kToM,WSLS,kToM,457,-4,2,-6,-8,0.48
WSLS vs kToM,WSLS,kToM,458,2,2,0,-2,0.51
WSLS vs kToM,WSLS,kToM,459,4,6,-2,-8,0.52
WSLS vs kToM,WSLS,kToM,460,6,0,6,6,0.53
WSLS vs kToM,WSLS,kToM,461,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,462,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,463,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,464,-18,-8,-10,-2,0.41
WSLS vs kToM,WSLS,kToM,465,-12,-8,-4,4,0.44
WSLS vs kToM,WSLS,kToM,466,4,2,2,0,0.52
WSLS vs kToM,WSLS,kToM,467,-6,6,-12,-18,0.47
WSLS vs kToM,WSLS,kToM,468,-12,-10,-2,8,0.44
WSLS vs kToM,WSLS,kToM,469,0,-2,2,4,0.5
WSLS vs kToM,WSLS,kToM,470,-16,-14,-2,12,0.42
WSLS vs kToM,WSLS,kToM,471,-8,-10,2,12,0.46
WSLS vs kToM,WSLS,kToM,472,-20,-10,-10,0,0.4
WSLS vs kToM,WSLS,kToM,473,8,16,-8,-24,0.54
WSLS vs kToM,WSLS,kToM,474,0,8,-8,-16,0.5
WSLS vs kToM,WSLS,kToM,475,-16,-2,-14,-12,0.42
WSLS vs kToM,WSLS,kToM,476,-6,2,-8,-10,0.47
WSLS vs kToM,WSLS,kToM,477,2,8,-6,-14,0.51
WSLS vs kToM,WSLS,kToM,478,-20,-16,-4,12,0.4
WSLS vs kToM,WSLS,kToM,479,10,6,4,-2,0.55
WSLS vs kToM,WSLS,kToM,480,-10,-12,2,14,0.45
WSLS vs kToM,WSLS,kToM,481,-4,8,-12,-20,0.48
WSLS vs kToM,WSLS,kToM,482,-6,-2,-4,-2,0.47
WSLS vs kToM,WSLS,kToM,483,-30,-16,-14,2,0.35
WSLS vs kToM,WSLS,kToM,484,8,6,2,-4,0.54
WSLS vs kToM,WSLS,kToM,485,-32,-14,-18,-4,0.34
WSLS vs kToM,WSLS,kToM,486,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,487,4,0,4,4,0.52
WSLS vs kToM,WSLS,kToM,488,12,6,6,0,0.56
WSLS vs kToM,WSLS,kToM,489,12,10,2,-8,0.56
WSLS vs kToM,WSLS,kToM,490,16,8,8,0,0.58
WSLS vs kToM,WSLS,kToM,491,-22,-10,-12,-2,0.39
WSLS vs kToM,WSLS,kToM,492,-4,-8,4,12,0.48
WSLS vs kToM,WSLS,kToM,493,6,8,-2,-10,0.53
WSLS vs kToM,WSLS,kToM,494,-10,-10,0,10,0.45
WSLS vs kToM,WSLS,kToM,495,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,496,-20,-6,-14,-8,0.4
WSLS vs kToM,WSLS,kToM,497,22,20,2,-18,0.61
WSLS vs kToM,WSLS,kToM,498,-10,-6,-4,2,0.45
WSLS vs kToM,WSLS,kToM,499,0,2,-2,-4,0.5
WSLS vs kToM,WSLS,kToM,500,16,0,16,16,0.58
WSLS vs kToM,WSLS,kToM,501,-8,0,-8,-8,0.46
WSLS vs kToM,WSLS,kToM,502,-6,2,-8,-10,0.47
WSLS vs kToM,WSLS,kToM,503,-6,0,-6,-6,0.47
WSLS vs kToM,WSLS,kToM,504,-16,-14,-2,12,0.42
WSLS vs kToM,WSLS,kToM,505,-4,4,-8,-12,0.48
WSLS vs kToM,WSLS,kToM,506,-8,-4,-4,0,0.46
WSLS vs kToM,WSLS,kToM,507,-14,-10,-4,6,0.43
WSLS vs kToM,WSLS,kToM,508,6,10,-4,-14,0.53
WSLS vs kToM,WSLS,kToM,509,-14,-2,-12,-10,0.43
WSLS vs kToM,WSLS,kToM,510,-10,-10,0,10,0.45
WSLS vs kToM,WSLS,kToM,511,-10,-2,-8,-6,0.45
WSLS vs kToM,WSLS,kToM,512,2,0,2,2,0.51
WSLS vs kToM,WSLS,kToM,513,-6,-6,0,6,0.47
WSLS vs kToM,WSLS,kToM,514,6,8,-2,-10,0.53
WSLS vs kToM,WSLS,kToM,515,-8,0,-8,-8,0.46
WSLS vs kToM,WSLS,kToM,516,-6,-6,0,6,0.47
WSLS vs kToM,WSLS,kToM,517,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,518,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,519,-6,-8,2,10,0.47
WSLS vs kToM,WSLS,kToM,520,-24,-22,-2,20,0.38
WSLS vs kToM,WSLS,kToM,521,10,2,8,6,0.55
WSLS vs kToM,WSLS,kToM,522,-6,-12,6,18,0.47
WSLS vs kToM,WSLS,kToM,523,-2,-4,2,6,0.49
WSLS vs kToM,WSLS,kToM,524,6,4,2,-2,0.53
WSLS vs kToM,WSLS,kToM,525,6,2,4,2,0.53
WSLS vs kToM,WSLS,kToM,526,8,4,4,0,0.54
WSLS vs kToM,WSLS,kToM,527,-30,-20,-10,10,0.35
WSLS vs kToM,WSLS,kToM,528,2,-6,8,14,0.51
WSLS vs kToM,WSLS,kToM,529,-4,-4,0,4,0.48
WSLS vs kToM,WSLS,kToM,530,0,-4,4,8,0.5
WSLS vs kToM,WSLS,kToM,531,-4,2,-6,-8,0.48
WSLS vs kToM,WSLS,kToM,532,8,8,0,-8,0.54
WSLS vs kToM,WSLS,kToM,533,8,10,-2,-12,0.54
WSLS vs kToM,WSLS,kToM,534,-14,-6,-8,-2,0.43
WSLS vs kToM,WSLS,kToM,535,8,4,4,0,0.54
WSLS vs kToM,WSLS,kToM,536,-8,-2,-6,-4,0.46
WSLS vs kToM,WSLS,kToM,537,-6,4,-10,-14,0.47
WSLS vs kToM,WSLS,kToM,538,6,0,6,6,0.53
WSLS vs kToM,WSLS,kToM,539,-2,-2,0,2,0.49
WSLS vs kToM,WSLS,kToM,540,-4,0,-4,-4,0.48
WSLS vs kToM,WSLS,kToM,541,-10,-8,-2,6,0.45
WSLS vs kToM,WSLS,kToM,542,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,543,-10,-14,4,18,0.45
WSLS vs kToM,WSLS,kToM,544,-4,-6,2,8,0.48
WSLS vs kToM,WSLS,kToM,545,2,4,-2,-6,0.51
WSLS vs kToM,WSLS,kToM,546,-6,-6,0,6,0.47
WSLS vs kToM,WSLS,kToM,547,-6,-4,-2,2,0.47
WSLS vs kToM,WSLS,kToM,548,-8,-2,-6,-4,0.46
WSLS vs kToM,WSLS,kToM,549,-2,-2,0,2,0.49
WSLS vs kToM,WSLS,kToM,550,6,4,2,-2,0.53
WSLS vs kToM,WSLS,kToM,551,6,2,4,2,0.53
WSLS vs kToM,WSLS,kToM,552,-4,-2,-2,0,0.48
WSLS vs kToM,WSLS,kToM,553,-16,-8,-8,0,0.42
WSLS vs kToM,WSLS,kToM,554,-24,-8,-16,-8,0.38
WSLS vs kToM,WSLS,kToM,555,-16,-2,-14,-12,0.42
