pairing,A,B,sim_id,total_payoff_A,payoff_first_A,payoff_second_A,swing_A,winrate_A
WSLS vs WSLS,WSLS,WSLS,324,-6,-6,0,6,0.47
WSLS vs WSLS,WSLS,WSLS,325,-8,-2,-6,-4,0.46
WSLS vs WSLS,WSLS,WSLS,326,-2,-2,0,2,0.49
WSLS vs WSLS,WSLS,WSLS,327,8,4,4,0,0.54
WSLS vs WSLS,WSLS,WSLS,328,4,-6,10,16,0.52
WSLS vs WSLS,WSLS,WSLS,329,-10,-6,-4,2,0.45
WSLS vs WSLS,WSLS,WSLS,330,8,6,2,-4,0.54
WSLS vs WSLS,WSLS,WSLS,331,2,16,-14,-30,0.51
WSLS vs WSLS,WSLS,WSLS,332,10,6,4,-2,0.55
WSLS vs WSLS,WSLS,WSLS,333,-2,2,-4,-6,0.49
WSLS vs WSLS,WSLS,WSLS,334,-2,-4,2,6,0.49
WSLS vs WSLS,WSLS,WSLS,335,6,-6,12,18,0.53
WSLS vs WSLS,WSLS,WSLS,336,10,2,8,6,0.55
WSLS vs WSLS,WSLS,WSLS,337,0,4,-4,-8,0.5
WSLS vs WSLS,WSLS,WSLS,338,-8,8,-16,-24,0.46
WSLS vs WSLS,WSLS,WSLS,339,6,0,6,6,0.53
WSLS vs WSLS,WSLS,WSLS,340,2,-6,8,14,0.51
WSLS vs WSLS,WSLS,WSLS,341,6,4,2,-2,0.53
WSLS vs WSLS,WSLS,WSLS,342,-8,-8,0,8,0.46
WSLS vs WSLS,WSLS,WSLS,343,-2,-2,0,2,0.49
WSLS vs WSLS,WSLS,WSLS,344,8,10,-2,-12,0.54
WSLS vs WSLS,WSLS,WSLS,345,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,346,-8,-10,2,12,0.46
WSLS vs WSLS,WSLS,WSLS,347,18,4,14,10,0.59
WSLS vs WSLS,WSLS,WSLS,348,22,8,14,6,0.61
WSLS vs WSLS,WSLS,WSLS,349,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,350,2,6,-4,-10,0.51
WSLS vs WSLS,WSLS,WSLS,351,-4,-6,2,8,0.48
WSLS vs WSLS,WSLS,WSLS,352,2,-2,4,6,0.51
WSLS vs WSLS,WSLS,WSLS,353,-6,-4,-2,2,0.47
WSLS vs WSLS,WSLS,WSLS,354,16,8,8,0,0.58
WSLS vs WSLS,WSLS,WSLS,355,16,-4,20,24,0.58
WSLS vs WSLS,WSLS,WSLS,356,-8,-2,-6,-4,0.46
WSLS vs WSLS,WSLS,WSLS,357,-6,-10,4,14,0.47
WSLS vs WSLS,WSLS,WSLS,358,0,2,-2,-4,0.5
WSLS vs WSLS,WSLS,WSLS,359,-2,-2,0,2,0.49
WSLS vs WSLS,WSLS,WSLS,360,-4,-8,4,12,0.48
WSLS vs WSLS,WSLS,WSLS,361,-6,-12,6,18,0.47
WSLS vs WSLS,WSLS,WSLS,362,18,6,12,6,0.59
WSLS vs WSLS,WSLS,WSLS,363,-18,-10,-8,2,0.41
WSLS vs WSLS,WSLS,WSLS,364,2,-4,6,10,0.51
WSLS vs WSLS,WSLS,WSLS,365,4,4,0,-4,0.52
WSLS vs WSLS,WSLS,WSLS,366,-4,0,-4,-4,0.48
WSLS vs WSLS,WSLS,WSLS,367,18,16,2,-14,0.59
WSLS vs WSLS,WSLS,WSLS,368,16,10,6,-4,0.58
WSLS vs WSLS,WSLS,WSLS,369,6,2,4,2,0.53
WSLS vs WSLS,WSLS,WSLS,370,-4,2,-6,-8,0.48
WSLS vs WSLS,WSLS,WSLS,371,6,4,2,-2,0.53
WSLS vs WSLS,WSLS,WSLS,372,8,4,4,0,0.54
WSLS vs WSLS,WSLS,WSLS,373,-2,-6,4,10,0.49
WSLS vs WSLS,WSLS,WSLS,374,-6,-6,0,6,0.47
WSLS vs WSLS,WSLS,WSLS,375,-12,-2,-10,-8,0.44
WSLS vs WSLS,WSLS,WSLS,376,6,-4,10,14,0.53
